employee_name,deep_work_hrs,meetings,coffee,tasks_done
Jane Kumar,2.8,2.0,4.0,3.0
Sarah Kumar,3.4,3.0,3.0,4.0
John Patel,0.1,3.0,5.0,0.0
Rohan Patel,2.9,0.0,0.0,3.0
David Smith,2.2,3.0,6.0,3.0
Priya Singh,4.0,3.0,1.0,3.0
Neha Gupta,2.7,2.0,4.0,6.0
Aarav Johnson,5.8,3.0,1.0,7.0
David Doe,4.1,1.0,5.0,8.0
Rohan Williams,1.0,2.0,3.0,5.0
John Singh,6.0,5.0,0.0,4.0
Sarah Johnson,0.8,2.0,4.0,3.0
Jane Smith,6.7,2.0,0.0,8.0
Neha Smith,7.5,3.0,5.0,11.0
Michael Sharma,2.6,5.0,4.0,3.0
Rohan Johnson,7.4,5.0,1.0,7.0
David Kumar,6.3,3.0,2.0,7.0
John Kumar,7.4,0.0,0.0,10.0
Jane Gupta,5.3,5.0,4.0,3.0
Emily Gupta,1.9,3.0,2.0,2.0
Aarav Gupta,7.2,2.0,3.0,12.0
Jane Smith,1.5,4.0,6.0,4.0
Priya Patel,1.7,2.0,2.0,2.0
Emily Gupta,2.2,0.0,6.0,7.0
Jane Kumar,2.4,4.0,4.0,2.0
David Kumar,4.1,3.0,1.0,5.0
David Doe,5.7,2.0,3.0,10.0
Neha Doe,7.4,1.0,4.0,13.0
Emily Kumar,0.7,3.0,3.0,0.0
David Patel,7.6,1.0,0.0,10.0
Aarav Patel,7.4,2.0,1.0,11.0
Aarav Sharma,0.4,3.0,5.0,0.0
Jane Gupta,2.9,4.0,4.0,4.0
Priya Singh,6.5,3.0,3.0,12.0
John Smith,4.9,4.0,1.0,6.0
Aarav Kumar,6.2,4.0,5.0,10.0
Emily Singh,5.8,3.0,6.0,9.0
Emily Reddy,4.0,1.0,0.0,4.0
Emily Kumar,0.3,4.0,0.0,0.0
Emily Gupta,4.7,2.0,5.0,7.0
Neha Sharma,0.4,0.0,5.0,4.0
Aarav Smith,4.8,1.0,4.0,8.0
Michael Kumar,6.4,4.0,6.0,9.0
Jane Kumar,4.7,0.0,4.0,9.0
Aarav Smith,8.0,1.0,1.0,11.0
Michael Reddy,3.6,3.0,4.0,4.0
John Johnson,6.0,4.0,4.0,8.0
Michael Gupta,5.3,3.0,6.0,8.0
Aarav Sharma,7.9,1.0,1.0,11.0
John Smith,5.7,0.0,4.0,9.0
Jane Sharma,1.3,3.0,5.0,2.0
Rohan Smith,7.6,0.0,2.0,15.0
John Doe,5.3,3.0,2.0,6.0
David Williams,0.5,1.0,5.0,1.0
Emily Williams,5.3,5.0,2.0,7.0
John Gupta,7.1,2.0,4.0,11.0
Priya Doe,4.6,1.0,5.0,9.0
Emily Singh,2.8,4.0,1.0,0.0
Neha Williams,6.6,1.0,6.0,10.0
Neha Williams,6.3,2.0,4.0,8.0
Aarav Gupta,4.4,4.0,3.0,5.0
Aarav Johnson,1.2,2.0,3.0,3.0
Emily Singh,2.0,2.0,6.0,5.0
Sarah Singh,5.9,2.0,1.0,11.0
Sarah Kumar,6.4,1.0,2.0,9.0
Neha Johnson,2.2,0.0,2.0,4.0
Priya Williams,2.9,4.0,2.0,3.0
Rohan Johnson,0.6,3.0,3.0,0.0
Jane Patel,5.7,1.0,6.0,11.0
Aarav Gupta,0.0,1.0,5.0,1.0
John Singh,0.4,5.0,2.0,0.0
Neha Doe,0.0,5.0,3.0,0.0
Rohan Reddy,5.2,2.0,4.0,9.0
John Johnson,3.3,4.0,0.0,1.0
Sarah Reddy,2.4,4.0,5.0,1.0
Sarah Williams,7.3,1.0,5.0,11.0
Emily Smith,1.5,0.0,5.0,8.0
Jane Williams,3.1,1.0,2.0,4.0
Emily Reddy,7.5,4.0,3.0,10.0
Michael Smith,3.4,4.0,0.0,3.0
Priya Sharma,4.4,3.0,2.0,7.0
Michael Singh,0.6,1.0,3.0,2.0
Jane Reddy,6.3,3.0,5.0,7.0
Jane Kumar,3.4,4.0,5.0,6.0
Rohan Gupta,6.4,4.0,6.0,9.0
Jane Doe,2.0,0.0,5.0,8.0
Sarah Kumar,3.4,3.0,0.0,4.0
Aarav Gupta,6.3,0.0,4.0,13.0
John Williams,7.8,4.0,0.0,13.0
Rohan Williams,0.5,3.0,2.0,0.0
Michael Williams,6.5,1.0,3.0,13.0
Michael Singh,2.4,4.0,4.0,2.0
David Sharma,4.4,0.0,4.0,9.0
Aarav Williams,2.3,4.0,0.0,0.0
Sarah Smith,4.9,1.0,1.0,7.0
Neha Reddy,2.8,3.0,1.0,2.0
David Gupta,2.7,5.0,1.0,0.0
Michael Smith,0.3,2.0,1.0,0.0
Rohan Sharma,1.2,3.0,4.0,2.0
Emily Singh,7.3,2.0,5.0,8.0
John Williams,8.0,1.0,2.0,12.0
John Sharma,6.2,3.0,4.0,11.0
Emily Johnson,2.3,4.0,1.0,3.0
Michael Smith,3.2,5.0,6.0,3.0
Jane Sharma,5.9,4.0,2.0,9.0
Sarah Williams,7.7,3.0,5.0,14.0
Michael Singh,3.6,4.0,6.0,2.0
Jane Smith,6.6,4.0,5.0,10.0
Michael Singh,7.8,2.0,0.0,10.0
Sarah Williams,7.0,1.0,4.0,14.0
Emily Sharma,1.8,2.0,1.0,2.0
Jane Doe,0.1,4.0,0.0,0.0
Jane Williams,3.9,3.0,0.0,3.0
Sarah Kumar,4.3,4.0,5.0,4.0
Sarah Smith,1.6,1.0,5.0,3.0
Priya Sharma,2.3,5.0,1.0,3.0
Jane Gupta,6.1,2.0,3.0,11.0
Rohan Doe,3.8,3.0,6.0,9.0
Aarav Patel,2.5,0.0,3.0,3.0
Priya Doe,5.0,1.0,2.0,10.0
John Smith,5.2,4.0,3.0,7.0
Aarav Kumar,6.2,5.0,5.0,7.0
Michael Kumar,1.3,2.0,3.0,3.0
Aarav Smith,5.9,0.0,5.0,11.0
Priya Williams,4.8,2.0,3.0,8.0
Neha Kumar,0.5,0.0,2.0,2.0
Neha Kumar,6.2,1.0,2.0,11.0
Rohan Smith,3.1,4.0,0.0,2.0
Sarah Gupta,2.6,5.0,3.0,4.0
Sarah Williams,3.6,0.0,1.0,5.0
Sarah Doe,2.8,3.0,5.0,7.0
John Johnson,2.7,1.0,3.0,3.0
Rohan Patel,6.5,1.0,5.0,10.0
Sarah Sharma,1.0,1.0,6.0,2.0
Neha Gupta,7.8,3.0,5.0,13.0
Jane Johnson,4.4,0.0,6.0,8.0
Michael Johnson,1.5,2.0,3.0,4.0
Jane Williams,1.0,1.0,1.0,1.0
Michael Johnson,4.7,1.0,6.0,9.0
Priya Kumar,5.1,1.0,5.0,10.0
Aarav Kumar,0.4,4.0,5.0,0.0
Jane Doe,1.9,4.0,4.0,0.0
Aarav Singh,6.4,4.0,4.0,8.0
Priya Singh,0.4,2.0,0.0,0.0
Michael Smith,6.8,2.0,4.0,12.0
Rohan Singh,5.3,2.0,1.0,5.0
David Kumar,3.5,0.0,2.0,5.0
David Smith,2.8,4.0,3.0,3.0
Aarav Patel,0.2,2.0,3.0,0.0
David Reddy,6.6,2.0,0.0,10.0
John Smith,1.1,3.0,5.0,1.0
Jane Johnson,2.5,2.0,5.0,7.0
John Johnson,4.6,5.0,4.0,4.0
Rohan Patel,2.0,2.0,3.0,2.0
John Williams,4.0,3.0,6.0,5.0
Michael Sharma,6.5,2.0,1.0,11.0
John Johnson,3.8,5.0,4.0,5.0
Jane Sharma,7.6,2.0,1.0,12.0
Jane Sharma,6.8,3.0,2.0,8.0
Rohan Johnson,2.7,1.0,4.0,5.0
Rohan Sharma,3.2,4.0,4.0,2.0
Sarah Williams,3.4,1.0,0.0,3.0
Rohan Williams,5.0,2.0,2.0,7.0
Michael Kumar,2.3,4.0,3.0,2.0
Rohan Doe,7.8,5.0,3.0,12.0
David Williams,4.9,2.0,4.0,5.0
Sarah Smith,3.2,4.0,2.0,3.0
Emily Singh,5.2,0.0,3.0,9.0
Priya Williams,3.2,4.0,1.0,2.0
David Doe,6.5,3.0,1.0,8.0
Sarah Doe,4.5,2.0,3.0,6.0
Michael Sharma,0.3,4.0,4.0,0.0
Emily Kumar,1.4,4.0,1.0,0.0
Priya Smith,6.9,1.0,1.0,9.0
Emily Patel,4.5,4.0,3.0,3.0
Aarav Singh,7.6,0.0,2.0,12.0
David Patel,0.6,4.0,2.0,0.0
Jane Reddy,2.4,3.0,2.0,0.0
John Reddy,1.5,0.0,1.0,5.0
Rohan Williams,4.4,3.0,0.0,4.0
Sarah Kumar,3.1,3.0,5.0,1.0
Rohan Kumar,1.3,3.0,4.0,2.0
Neha Williams,5.1,1.0,4.0,8.0
Jane Gupta,4.3,1.0,3.0,5.0
David Singh,2.2,4.0,4.0,3.0
Aarav Kumar,3.8,1.0,6.0,6.0
David Smith,6.0,2.0,4.0,9.0
David Gupta,1.6,3.0,2.0,0.0
Aarav Reddy,2.3,0.0,3.0,4.0
Michael Reddy,2.8,3.0,3.0,3.0
Sarah Sharma,6.0,3.0,3.0,6.0
Emily Sharma,6.8,3.0,3.0,9.0
Michael Patel,3.0,2.0,5.0,7.0
John Kumar,2.4,2.0,4.0,6.0
Jane Johnson,7.1,2.0,1.0,12.0
Neha Johnson,8.0,4.0,0.0,11.0
Aarav Smith,5.4,1.0,3.0,8.0
Michael Reddy,7.9,5.0,0.0,7.0
Emily Kumar,5.3,3.0,2.0,8.0
Rohan Johnson,5.9,4.0,2.0,6.0
Sarah Gupta,3.1,2.0,2.0,4.0
Emily Gupta,3.5,2.0,6.0,8.0
Michael Gupta,1.2,5.0,2.0,2.0
Sarah Patel,6.6,0.0,2.0,11.0
Sarah Gupta,7.4,1.0,1.0,11.0
Sarah Doe,5.0,1.0,3.0,6.0
Michael Johnson,2.7,5.0,1.0,2.0
Jane Reddy,1.2,3.0,4.0,2.0
Aarav Johnson,2.1,3.0,1.0,1.0
Aarav Sharma,2.0,4.0,3.0,1.0
Jane Kumar,4.9,2.0,5.0,8.0
Emily Doe,7.6,4.0,0.0,9.0
John Sharma,0.4,2.0,3.0,0.0
David Doe,0.0,4.0,3.0,0.0
Sarah Gupta,4.8,1.0,5.0,10.0
Neha Sharma,2.3,1.0,3.0,3.0
Rohan Gupta,7.0,3.0,3.0,10.0
Aarav Reddy,2.6,2.0,5.0,5.0
Aarav Doe,2.3,3.0,3.0,3.0
Aarav Sharma,2.2,2.0,2.0,2.0
Sarah Johnson,1.2,1.0,1.0,3.0
Emily Smith,4.7,2.0,4.0,5.0
Aarav Doe,1.3,3.0,5.0,1.0
David Kumar,3.4,1.0,6.0,9.0
Aarav Sharma,3.7,3.0,6.0,7.0
Rohan Reddy,0.2,2.0,5.0,0.0
Aarav Sharma,0.1,2.0,4.0,1.0
Michael Reddy,4.2,1.0,5.0,6.0
John Sharma,5.6,5.0,3.0,5.0
Rohan Sharma,7.5,3.0,4.0,12.0
Michael Sharma,1.4,1.0,2.0,4.0
Sarah Williams,0.8,3.0,2.0,0.0
John Smith,0.4,4.0,5.0,0.0
Michael Johnson,3.5,2.0,3.0,4.0
Aarav Kumar,5.0,4.0,1.0,5.0
Jane Smith,6.7,1.0,1.0,12.0
Aarav Gupta,5.5,4.0,5.0,5.0
Neha Gupta,1.7,3.0,4.0,1.0
Rohan Williams,3.7,1.0,3.0,8.0
Sarah Doe,7.3,2.0,2.0,13.0
Emily Reddy,2.6,5.0,3.0,1.0
John Doe,4.0,4.0,0.0,5.0
Aarav Reddy,7.7,3.0,3.0,9.0
Michael Johnson,5.9,1.0,5.0,8.0
Aarav Singh,6.0,2.0,2.0,10.0
Michael Sharma,2.0,1.0,2.0,5.0
Neha Kumar,3.3,0.0,0.0,7.0
Rohan Reddy,0.7,3.0,3.0,0.0
Neha Reddy,4.9,4.0,0.0,4.0
Neha Doe,0.8,3.0,3.0,2.0
Neha Kumar,6.7,1.0,3.0,11.0
Neha Patel,6.5,3.0,5.0,12.0
David Reddy,4.3,5.0,3.0,4.0
Aarav Gupta,1.1,4.0,2.0,0.0
Rohan Williams,0.2,3.0,3.0,0.0
John Smith,6.4,5.0,4.0,9.0
Michael Patel,4.8,4.0,1.0,4.0
Sarah Gupta,5.7,1.0,4.0,11.0
Aarav Williams,2.4,2.0,5.0,7.0
Aarav Patel,4.1,5.0,2.0,2.0
Priya Sharma,6.0,2.0,4.0,9.0
Neha Reddy,3.7,1.0,5.0,9.0
Michael Doe,4.8,2.0,3.0,10.0
John Johnson,6.3,3.0,4.0,10.0
Rohan Singh,1.7,5.0,2.0,0.0
Emily Gupta,0.5,2.0,2.0,1.0
Jane Gupta,4.3,3.0,4.0,8.0
Jane Gupta,0.5,4.0,4.0,0.0
David Kumar,6.1,2.0,6.0,9.0
John Doe,5.8,1.0,1.0,8.0
Sarah Kumar,7.1,5.0,3.0,9.0
John Sharma,5.1,2.0,2.0,4.0
Michael Doe,0.5,3.0,0.0,0.0
Sarah Reddy,2.0,3.0,2.0,2.0
Michael Reddy,6.5,0.0,2.0,12.0
Aarav Sharma,1.3,5.0,2.0,0.0
David Williams,5.6,2.0,2.0,8.0
Neha Smith,6.2,2.0,2.0,10.0
Sarah Johnson,2.6,1.0,6.0,9.0
Sarah Johnson,2.6,2.0,5.0,7.0
David Reddy,4.5,4.0,0.0,1.0
Priya Smith,6.9,4.0,5.0,10.0
Sarah Patel,1.8,5.0,4.0,2.0
Aarav Gupta,7.5,2.0,5.0,15.0
Aarav Kumar,4.8,4.0,2.0,6.0
Jane Gupta,7.9,3.0,3.0,10.0
Emily Williams,0.7,4.0,5.0,0.0
Rohan Gupta,1.0,4.0,2.0,0.0
Neha Williams,6.6,2.0,5.0,12.0
Priya Kumar,6.9,2.0,5.0,11.0
Rohan Kumar,3.6,1.0,6.0,3.0
Rohan Doe,5.7,3.0,2.0,5.0
Sarah Reddy,6.9,5.0,1.0,7.0
John Kumar,0.3,1.0,2.0,0.0
David Singh,4.6,0.0,6.0,8.0
Michael Williams,6.8,1.0,2.0,14.0
Rohan Johnson,3.2,4.0,3.0,3.0
Aarav Singh,2.4,2.0,2.0,3.0
Emily Williams,6.4,1.0,2.0,11.0
David Smith,2.7,2.0,1.0,5.0
Jane Johnson,0.0,3.0,3.0,2.0
Jane Williams,7.7,3.0,5.0,14.0
John Johnson,4.7,4.0,0.0,5.0
Neha Patel,6.6,2.0,5.0,9.0
Emily Doe,6.6,2.0,4.0,9.0
Priya Gupta,0.5,1.0,4.0,2.0
Aarav Kumar,1.4,0.0,4.0,4.0
Sarah Johnson,2.5,2.0,2.0,3.0
Michael Reddy,2.6,2.0,2.0,2.0
Jane Williams,5.3,3.0,5.0,5.0
Neha Gupta,5.0,0.0,2.0,9.0
Emily Sharma,4.0,1.0,3.0,7.0
David Smith,1.7,4.0,0.0,0.0
Michael Reddy,3.1,3.0,4.0,5.0
Michael Reddy,4.3,4.0,3.0,7.0
Emily Singh,3.7,4.0,3.0,4.0
Jane Gupta,1.0,2.0,1.0,0.0
Rohan Johnson,5.2,4.0,6.0,11.0
Rohan Kumar,0.6,3.0,2.0,0.0
John Gupta,3.0,1.0,4.0,6.0
Michael Patel,5.7,2.0,3.0,8.0
Priya Reddy,0.2,2.0,5.0,0.0
Neha Patel,4.6,2.0,2.0,5.0
Jane Reddy,2.7,2.0,5.0,3.0
Emily Smith,0.1,2.0,2.0,0.0
Priya Reddy,1.5,1.0,2.0,3.0
John Johnson,7.5,0.0,4.0,15.0
Neha Gupta,4.2,0.0,5.0,7.0
Sarah Kumar,8.0,1.0,4.0,17.0
Michael Reddy,4.2,2.0,5.0,10.0
Sarah Reddy,4.4,3.0,2.0,5.0
Jane Kumar,3.1,1.0,5.0,5.0
Jane Smith,2.5,4.0,1.0,0.0
Jane Smith,2.0,4.0,4.0,2.0
Aarav Williams,2.7,3.0,3.0,4.0
Emily Sharma,3.7,4.0,3.0,4.0
Jane Kumar,1.5,2.0,2.0,3.0
Aarav Reddy,1.8,0.0,3.0,6.0
Neha Gupta,2.2,5.0,1.0,1.0
Sarah Sharma,3.6,1.0,2.0,7.0
Rohan Williams,5.2,5.0,1.0,4.0
Neha Gupta,6.8,3.0,3.0,10.0
Neha Patel,2.3,2.0,1.0,3.0
Aarav Sharma,1.5,2.0,1.0,0.0
David Smith,3.0,3.0,1.0,4.0
David Gupta,7.2,0.0,2.0,10.0
Emily Singh,0.1,2.0,5.0,0.0
John Smith,5.4,4.0,5.0,6.0
Michael Doe,3.8,3.0,0.0,3.0
Michael Gupta,1.3,1.0,4.0,2.0
David Doe,2.6,2.0,4.0,6.0
John Kumar,1.8,4.0,3.0,1.0
Aarav Gupta,7.0,3.0,4.0,9.0
Emily Gupta,3.9,3.0,1.0,2.0
David Sharma,4.5,5.0,3.0,4.0
John Sharma,4.7,2.0,2.0,8.0
Michael Sharma,5.1,2.0,1.0,8.0
John Williams,4.0,4.0,4.0,2.0
Jane Johnson,0.1,4.0,3.0,0.0
Sarah Johnson,2.7,1.0,2.0,3.0
Neha Gupta,1.5,1.0,3.0,3.0
Priya Singh,5.4,4.0,5.0,6.0
Priya Kumar,0.5,1.0,5.0,2.0
Emily Smith,4.5,5.0,4.0,3.0
Rohan Smith,1.7,1.0,3.0,3.0
David Smith,7.6,2.0,3.0,14.0
Aarav Singh,2.7,0.0,2.0,6.0
Neha Sharma,2.6,4.0,1.0,4.0
Priya Gupta,7.4,4.0,2.0,9.0
John Singh,3.3,3.0,3.0,4.0
John Reddy,7.7,5.0,4.0,10.0
Emily Kumar,0.2,1.0,6.0,1.0
Rohan Kumar,2.5,0.0,5.0,3.0
Priya Williams,5.3,4.0,1.0,6.0
Jane Smith,7.1,4.0,1.0,5.0
Jane Singh,2.1,4.0,1.0,2.0
Jane Reddy,7.4,4.0,4.0,11.0
David Smith,4.8,2.0,4.0,7.0
Michael Singh,6.4,1.0,6.0,11.0
Aarav Patel,3.2,5.0,3.0,3.0
Emily Doe,1.7,2.0,5.0,2.0
Sarah Sharma,7.3,2.0,3.0,12.0
Sarah Smith,7.5,3.0,5.0,12.0
Emily Reddy,4.0,1.0,4.0,5.0
Jane Gupta,0.1,4.0,4.0,0.0
Jane Gupta,0.9,0.0,3.0,3.0
Priya Sharma,4.6,4.0,4.0,8.0
Jane Doe,0.2,3.0,3.0,0.0
John Kumar,3.2,3.0,1.0,0.0
Jane Patel,2.4,2.0,0.0,1.0
Sarah Sharma,5.7,1.0,3.0,10.0
Jane Williams,0.4,2.0,4.0,0.0
Priya Reddy,3.9,2.0,0.0,3.0
Emily Gupta,4.6,3.0,2.0,4.0
Rohan Williams,4.9,1.0,2.0,7.0
Sarah Gupta,3.2,0.0,3.0,5.0
Neha Johnson,2.4,1.0,2.0,5.0
Aarav Gupta,5.5,3.0,1.0,4.0
Jane Patel,6.8,0.0,1.0,9.0
Michael Gupta,5.5,4.0,1.0,5.0
Michael Gupta,7.5,3.0,5.0,13.0
Sarah Smith,5.7,4.0,2.0,7.0
Sarah Johnson,6.1,4.0,4.0,9.0
Emily Kumar,1.3,1.0,3.0,4.0
Priya Johnson,3.4,4.0,6.0,3.0
Emily Singh,3.9,3.0,2.0,4.0
Aarav Sharma,2.1,4.0,1.0,0.0
Michael Williams,4.2,4.0,0.0,5.0
Jane Reddy,2.3,0.0,1.0,5.0
Rohan Johnson,5.5,2.0,4.0,6.0
Aarav Reddy,3.8,3.0,1.0,6.0
Rohan Kumar,3.7,3.0,1.0,3.0
Priya Sharma,7.9,1.0,5.0,14.0
David Sharma,3.1,1.0,3.0,7.0
David Williams,2.9,2.0,0.0,0.0
Jane Johnson,2.5,3.0,0.0,3.0
Michael Williams,7.2,5.0,0.0,7.0
David Kumar,4.0,4.0,6.0,2.0
Jane Johnson,4.8,2.0,5.0,6.0
Sarah Reddy,1.4,0.0,5.0,4.0
Neha Singh,4.3,1.0,6.0,10.0
Neha Doe,2.2,2.0,3.0,3.0
Aarav Kumar,5.8,4.0,1.0,6.0
Emily Gupta,6.7,2.0,2.0,9.0
David Singh,5.7,3.0,4.0,10.0
Jane Reddy,5.8,4.0,5.0,9.0
Michael Gupta,4.1,5.0,3.0,4.0
Aarav Smith,5.7,1.0,3.0,8.0
Emily Williams,3.4,0.0,6.0,8.0
Neha Sharma,5.2,2.0,1.0,11.0
Aarav Singh,2.1,3.0,5.0,4.0
Aarav Patel,0.6,5.0,1.0,0.0
David Smith,3.3,0.0,3.0,9.0
Jane Reddy,3.7,0.0,1.0,5.0
Emily Gupta,2.1,4.0,4.0,2.0
Aarav Singh,5.8,4.0,3.0,7.0
Aarav Singh,0.6,5.0,2.0,0.0
John Gupta,1.8,2.0,5.0,4.0
John Smith,6.0,2.0,4.0,9.0
Priya Kumar,3.5,1.0,4.0,6.0
Neha Smith,5.6,1.0,1.0,6.0
John Doe,4.5,3.0,5.0,5.0
Neha Reddy,7.6,2.0,1.0,11.0
Aarav Doe,4.8,0.0,1.0,6.0
Emily Kumar,0.1,4.0,1.0,0.0
Jane Smith,2.8,1.0,3.0,9.0
Priya Singh,1.1,4.0,5.0,5.0
Rohan Kumar,7.4,1.0,2.0,12.0
Sarah Williams,0.8,4.0,2.0,0.0
John Doe,3.1,1.0,5.0,5.0
Aarav Singh,1.8,4.0,4.0,0.0
Rohan Doe,6.8,0.0,5.0,12.0
Rohan Gupta,2.5,2.0,1.0,3.0
Aarav Johnson,7.9,4.0,4.0,12.0
Rohan Kumar,0.3,1.0,1.0,0.0
Priya Singh,1.0,1.0,6.0,7.0
Priya Reddy,1.8,4.0,3.0,1.0
David Sharma,6.5,4.0,4.0,6.0
John Kumar,7.0,0.0,1.0,11.0
Aarav Gupta,0.6,1.0,2.0,0.0
Neha Kumar,0.3,1.0,1.0,0.0
Priya Gupta,6.0,1.0,2.0,8.0
Jane Patel,1.1,5.0,2.0,0.0
Michael Reddy,1.1,3.0,4.0,5.0
Michael Singh,0.2,2.0,1.0,0.0
Neha Singh,0.4,5.0,5.0,0.0
Sarah Singh,2.1,3.0,0.0,2.0
Aarav Singh,0.5,3.0,1.0,0.0
Michael Kumar,3.0,2.0,5.0,4.0
John Patel,6.7,2.0,4.0,8.0
Neha Doe,2.6,3.0,3.0,2.0
Aarav Sharma,5.8,0.0,0.0,10.0
Jane Williams,0.8,1.0,4.0,3.0
Neha Kumar,5.3,1.0,2.0,9.0
Rohan Singh,2.5,0.0,2.0,5.0
Jane Sharma,6.0,3.0,4.0,9.0
Michael Reddy,1.1,3.0,3.0,0.0
David Doe,7.2,2.0,1.0,8.0
Michael Kumar,1.9,1.0,5.0,2.0
Jane Williams,2.8,3.0,5.0,7.0
Emily Gupta,7.6,1.0,0.0,11.0
Aarav Williams,4.6,3.0,3.0,6.0
Priya Singh,2.9,4.0,1.0,4.0
Aarav Doe,7.6,1.0,5.0,16.0
John Smith,2.6,4.0,4.0,7.0
David Gupta,0.8,4.0,1.0,0.0
Neha Johnson,8.0,0.0,0.0,12.0
Rohan Johnson,2.1,0.0,0.0,4.0
Emily Reddy,6.8,5.0,3.0,10.0
Jane Williams,1.3,1.0,4.0,4.0
