student_name,study_hours,attendance,sleep,marks
David Sharma,9.7,73.6,2.0,77.5
Rohan Reddy,11.7,89.5,3.3,97.8
Sita Iyer,11.4,93.4,3.6,97.7
Ananya Johnson,10.2,80.0,2.3,90.8
John Smith,8.0,87.5,4.5,84.5
Priya Brown,8.5,74.1,3.8,79.6
Karthik Iyer,10.9,84.5,3.6,87.9
Lakshmi Smith,10.3,96.3,2.5,93.8
Aarav Johnson,10.5,88.5,4.2,94.1
Neha Brown,9.3,89.8,3.3,88.3
Priya Patel,8.9,88.4,4.1,83.3
Michael Williams,11.6,87.2,3.0,100.0
Michael Johnson,8.7,89.3,2.9,81.2
Michael Patel,8.0,70.4,2.8,69.5
Sita Johnson,11.9,87.3,2.7,95.4
Rahul Iyer,10.2,91.1,2.0,86.0
Karthik Reddy,8.8,74.4,4.4,77.2
Sita Doe,10.0,84.2,2.5,94.5
Rahul Johnson,9.5,82.2,2.8,88.8
Priya Rao,10.3,97.6,2.5,91.6
Emily Gupta,8.5,98.5,2.7,87.2
Michael Smith,10.1,60.8,2.4,79.7
Sita Williams,11.3,66.5,2.2,83.7
Sarah Reddy,11.8,67.0,3.4,95.0
Aarav Brown,8.9,85.0,4.3,88.5
Jane Kumar,9.0,80.7,3.4,82.4
Priya Sharma,9.4,83.0,3.1,82.4
Rahul Kumar,9.9,97.5,3.6,90.6
Sita Johnson,10.4,71.5,4.4,99.1
Rohan Rao,10.0,90.4,3.0,87.6
Rahul Patel,8.9,77.5,3.1,84.3
Arjun Reddy,10.6,96.2,4.2,100.0
Arjun Sharma,9.8,77.8,2.9,84.0
Rahul Iyer,10.6,77.7,2.1,87.0
Lakshmi Smith,9.7,75.7,3.4,93.0
Jane Reddy,9.1,92.1,3.1,78.4
Michael Reddy,8.5,78.3,2.2,75.3
Lakshmi Doe,11.2,79.0,3.4,98.2
Priya Patel,8.8,81.2,3.3,85.8
Michael Iyer,8.1,82.8,3.5,71.3
Arjun Brown,8.8,84.2,3.9,78.5
Aarav Patel,8.2,97.1,4.0,80.2
Neha Sharma,11.9,71.1,4.5,96.3
Priya Sharma,10.7,72.5,2.5,87.1
Sarah Singh,10.4,86.3,3.1,97.5
Lakshmi Kumar,10.4,65.6,2.3,84.7
Sai Gupta,8.8,83.2,2.7,87.7
Rohan Iyer,9.0,84.1,3.7,89.1
Emily Kumar,11.2,65.2,3.5,96.1
David Sharma,10.1,89.8,3.4,91.1
Lakshmi Sharma,10.8,85.2,3.6,100.0
Aarav Brown,10.2,90.6,2.1,93.4
Rahul Johnson,9.0,72.4,3.9,78.2
Arjun Singh,10.6,86.9,3.5,95.4
John Rao,9.4,70.7,2.7,84.2
Sai Iyer,9.5,89.8,2.2,85.1
Sita Doe,9.3,99.8,2.8,97.1
Sita Johnson,9.0,75.4,4.1,79.7
Sai Gupta,11.2,65.3,3.9,86.8
Karthik Singh,8.9,83.4,3.9,84.4
Rohan Brown,9.7,98.5,2.8,90.7
John Reddy,9.5,67.4,3.0,81.4
Ananya Iyer,11.5,69.9,2.7,86.5
Michael Sharma,11.7,82.3,3.4,98.9
Emily Brown,11.9,71.6,4.4,97.5
Sarah Kumar,8.7,90.8,2.4,86.7
John Patel,9.4,83.4,2.3,90.1
Lakshmi Singh,9.9,78.2,3.7,86.1
Lakshmi Sharma,10.4,78.9,3.9,90.0
Aarav Brown,12.0,92.7,2.9,100.0
Neha Sharma,9.9,74.3,2.4,84.5
David Johnson,8.7,69.1,3.9,81.7
Neha Singh,10.2,95.0,3.9,89.3
Neha Sharma,11.0,84.0,2.6,100.0
Rohan Gupta,8.5,74.1,3.1,77.1
Michael Rao,8.6,89.0,2.9,90.1
Priya Brown,10.9,97.3,3.4,100.0
Sai Sharma,8.6,68.5,2.0,76.6
John Kumar,12.0,84.6,2.9,100.0
Lakshmi Patel,9.9,70.3,2.1,87.5
Ananya Rao,11.2,94.6,4.0,100.0
Priya Smith,9.3,93.5,2.6,89.9
Rahul Brown,11.2,66.4,2.6,95.3
Sita Brown,8.8,98.6,4.3,87.8
Neha Kumar,10.7,78.9,4.2,93.4
Priya Doe,9.7,96.2,3.7,94.1
Sarah Sharma,9.1,65.2,2.2,69.4
Neha Sharma,11.6,80.0,3.0,95.3
Lakshmi Patel,12.0,60.2,2.4,86.3
David Johnson,10.6,68.0,4.0,89.0
David Williams,11.4,81.8,2.7,100.0
Sarah Rao,8.9,95.7,2.6,83.0
Jane Brown,10.9,61.8,3.5,81.0
Ananya Williams,11.0,76.9,4.0,92.1
Sai Brown,11.2,69.7,3.5,93.1
Lakshmi Sharma,8.5,82.3,2.7,72.6
David Singh,10.3,98.4,3.5,91.5
Rahul Reddy,11.4,87.9,2.7,76.5
John Kumar,9.4,65.3,3.4,82.4
Jane Reddy,10.8,72.7,3.3,85.3
David Gupta,9.5,74.8,2.3,87.2
Jane Doe,9.2,89.3,3.6,85.9
Emily Doe,8.7,73.4,4.4,73.3
Rahul Reddy,8.5,63.4,4.3,65.1
Jane Iyer,10.2,77.8,4.2,87.4
Rohan Sharma,11.6,75.8,2.2,99.0
Rohan Doe,9.5,67.7,2.2,75.9
Neha Sharma,10.3,71.7,3.1,89.8
Ananya Johnson,11.8,71.9,3.8,89.7
Rohan Rao,10.2,60.5,2.0,78.5
Rohan Rao,11.3,98.2,3.9,96.0
Michael Reddy,9.1,81.3,3.5,84.8
Jane Johnson,8.1,95.5,4.4,82.3
Ananya Smith,10.7,74.8,3.0,82.9
Sita Williams,8.2,79.0,2.2,78.7
Ananya Johnson,9.8,95.3,3.7,83.5
Neha Gupta,8.8,73.4,4.3,73.9
Sai Rao,10.4,79.5,2.8,90.5
Sai Patel,11.9,99.6,4.1,100.0
David Sharma,8.5,94.1,2.2,81.4
Sarah Gupta,9.2,98.5,2.4,90.9
Neha Patel,8.8,82.1,2.3,77.4
Rahul Rao,8.5,70.6,2.5,79.9
Michael Sharma,8.0,61.7,3.3,75.1
Sarah Brown,10.7,81.2,3.3,85.5
Rahul Singh,9.7,92.1,4.4,85.5
Sarah Reddy,11.4,64.6,3.4,93.8
Ananya Sharma,10.2,76.2,4.4,96.1
Sarah Smith,11.2,71.5,3.8,96.5
Priya Reddy,10.7,86.6,3.4,85.7
Jane Rao,9.8,66.1,3.2,90.4
Neha Patel,9.2,65.8,2.1,77.1
Priya Smith,9.6,69.0,3.1,80.7
Aarav Brown,8.4,71.4,2.7,82.8
Arjun Smith,10.4,92.1,2.7,96.8
Arjun Kumar,9.3,62.6,2.4,76.5
Rohan Doe,8.1,61.0,2.9,61.3
Aarav Doe,8.3,89.0,2.7,78.8
Jane Brown,8.3,66.5,4.4,67.2
Priya Williams,8.1,91.9,2.4,80.6
Sai Singh,10.2,73.0,3.9,87.6
Jane Sharma,9.1,73.2,4.4,82.2
Ananya Brown,11.1,61.8,3.3,92.8
Karthik Reddy,9.6,65.7,2.3,83.3
Aarav Reddy,8.7,98.7,2.8,93.4
Sarah Singh,8.5,74.5,2.5,83.2
Michael Singh,10.4,64.5,3.1,77.9
Lakshmi Doe,11.3,67.0,4.4,84.3
Lakshmi Williams,8.4,78.6,2.8,79.9
Lakshmi Brown,10.6,93.9,2.0,88.2
Arjun Johnson,11.7,98.1,3.5,100.0
Jane Iyer,11.2,67.0,3.5,94.3
Rohan Johnson,11.2,87.8,3.2,98.3
Sarah Iyer,10.9,73.7,4.2,92.1
Aarav Smith,11.2,89.0,3.8,99.6
Sai Kumar,8.1,80.0,2.3,77.4
Sai Johnson,8.9,69.7,3.6,81.1
John Williams,9.1,88.6,2.1,79.6
Rohan Kumar,11.1,83.4,2.9,88.4
Lakshmi Doe,10.8,82.4,3.7,96.2
Rohan Doe,10.7,82.4,4.1,100.0
Rahul Williams,11.7,85.7,3.9,96.1
Priya Sharma,10.0,75.8,4.5,82.0
Aarav Kumar,12.0,84.9,4.5,100.0
Priya Patel,11.0,70.3,3.4,88.7
Sai Gupta,10.1,71.1,2.5,88.7
Sai Sharma,11.2,84.5,3.8,100.0
Sai Singh,8.4,98.0,3.3,90.9
Jane Kumar,10.9,91.2,2.8,98.8
Sita Singh,11.8,67.0,3.0,91.6
Priya Williams,9.6,94.5,3.4,92.9
Ananya Iyer,8.3,93.8,3.8,85.3
Ananya Singh,11.5,76.5,3.3,87.7
Sita Brown,9.7,76.0,2.8,82.4
Arjun Singh,11.1,78.6,2.3,97.0
Lakshmi Gupta,8.2,98.9,4.1,82.2
Rohan Smith,11.1,78.0,3.0,95.8
Emily Rao,10.3,80.6,2.7,86.6
Sita Williams,9.4,72.5,3.0,86.9
Lakshmi Patel,8.4,81.3,4.1,73.8
Rahul Brown,10.0,100.0,2.8,96.9
Rahul Patel,12.0,76.5,2.6,95.4
Arjun Smith,9.2,65.4,3.7,83.3
Neha Sharma,11.9,95.5,3.8,100.0
Michael Smith,9.2,70.9,2.6,86.1
Neha Singh,8.7,97.6,4.1,100.0
Neha Doe,10.4,95.9,2.5,100.0
David Kumar,9.8,72.8,2.4,81.7
Rahul Patel,10.5,88.6,3.7,100.0
Aarav Reddy,8.4,72.3,4.2,85.9
Rohan Johnson,9.7,97.6,4.2,92.8
Sita Smith,10.6,90.2,2.2,90.0
Rahul Sharma,8.3,90.1,3.5,77.4
Michael Rao,10.6,60.8,4.3,76.6
Aarav Iyer,10.3,85.1,3.7,77.1
Karthik Sharma,9.9,88.2,4.0,88.7
Karthik Gupta,8.5,72.2,2.4,71.6
Arjun Patel,8.3,84.0,2.5,87.3
Jane Kumar,8.4,86.8,3.0,84.0
Priya Doe,10.4,60.1,2.4,82.2
Emily Brown,8.4,97.0,3.7,92.8
Ananya Iyer,9.8,89.5,2.3,76.5
Michael Reddy,11.3,74.0,4.5,89.6
David Kumar,8.1,97.5,2.1,81.4
Neha Sharma,10.1,78.3,3.9,85.3
Arjun Brown,8.5,96.6,3.6,91.9
Priya Johnson,11.0,77.4,3.8,92.8
Priya Doe,10.9,97.2,3.8,100.0
Rohan Gupta,9.8,81.2,3.2,88.3
Sai Kumar,10.1,63.1,2.8,75.8
Sarah Reddy,11.7,70.9,4.1,93.3
Lakshmi Reddy,9.3,75.9,2.7,79.8
Michael Williams,11.5,91.9,2.3,100.0
Priya Kumar,8.0,95.6,2.8,80.1
Karthik Rao,10.2,69.9,4.0,87.9
Lakshmi Patel,9.6,80.7,2.9,85.9
Arjun Sharma,8.3,96.3,2.8,83.1
Ananya Williams,10.4,94.0,2.9,100.0
Sai Smith,8.5,74.1,3.0,74.9
Lakshmi Kumar,8.8,76.0,4.1,86.7
Lakshmi Reddy,8.2,99.3,2.2,84.4
Aarav Doe,9.0,63.6,2.4,72.5
Arjun Reddy,9.2,64.5,3.8,84.5
Sarah Gupta,11.6,64.4,3.5,93.8
Rohan Smith,11.8,82.6,2.1,96.4
Sita Kumar,8.0,64.2,2.5,65.0
Priya Gupta,11.0,86.5,2.2,90.1
Lakshmi Brown,8.7,70.0,3.6,76.9
Neha Gupta,9.3,94.9,2.9,93.2
Sita Brown,8.4,84.7,4.1,80.2
Priya Smith,8.7,92.0,2.6,86.0
Neha Rao,10.6,74.1,4.0,85.7
Jane Doe,8.3,60.6,3.5,82.1
Karthik Doe,10.1,74.8,3.4,87.2
Rohan Reddy,8.9,62.6,3.6,74.8
David Gupta,11.5,87.1,3.5,100.0
Sita Williams,9.1,76.2,3.2,75.4
Jane Sharma,9.1,88.6,4.4,78.6
Jane Brown,11.2,91.8,3.7,99.9
Arjun Singh,11.6,68.6,4.2,96.7
Karthik Gupta,10.8,92.9,3.4,96.7
Emily Gupta,9.6,77.8,4.4,89.5
Rahul Reddy,11.3,73.0,2.2,81.7
Neha Williams,8.6,63.2,3.7,75.9
Arjun Rao,8.7,69.1,3.0,73.4
Sita Rao,9.4,83.2,3.7,92.2
Rahul Gupta,11.8,62.4,3.9,85.1
Rohan Gupta,11.3,65.2,3.9,90.0
Sita Gupta,9.4,80.8,2.9,87.8
Sarah Rao,8.5,77.8,4.5,77.5
Rahul Rao,8.9,93.4,2.0,87.0
Sai Rao,10.0,92.3,3.0,89.9
Priya Doe,11.3,76.9,3.0,96.5
Michael Iyer,11.1,86.0,3.3,91.3
Arjun Williams,8.1,80.3,3.0,72.2
Priya Doe,8.8,77.1,3.3,79.6
Rahul Sharma,10.7,88.8,4.3,91.3
Sita Doe,11.3,77.7,2.1,89.1
Rohan Williams,8.1,97.0,4.4,84.9
Rahul Singh,10.3,61.8,2.8,76.4
Karthik Singh,9.3,83.6,4.1,92.5
David Rao,11.9,74.9,2.7,100.0
Sarah Gupta,8.5,70.1,3.2,73.0
Rahul Kumar,10.7,64.5,2.4,87.8
Ananya Doe,10.4,92.9,3.6,98.0
John Gupta,8.8,60.3,3.4,60.2
John Singh,8.3,94.4,3.2,87.3
John Reddy,10.4,78.7,2.1,90.7
Emily Williams,10.5,81.1,3.7,90.3
Karthik Kumar,10.1,93.6,2.4,89.0
Priya Doe,10.9,74.6,3.7,90.4
David Brown,10.2,73.4,2.3,85.2
Ananya Johnson,9.7,98.1,2.6,90.2
Ananya Sharma,11.6,99.0,3.0,100.0
Sai Smith,10.6,84.4,3.5,82.9
Sarah Johnson,11.2,78.4,4.0,89.6
Neha Williams,10.9,63.9,4.3,91.6
David Johnson,11.5,80.1,3.4,95.9
Aarav Williams,8.6,73.7,4.4,74.0
Neha Kumar,10.5,86.4,3.0,92.1
Priya Brown,10.3,89.6,3.4,88.9
Aarav Kumar,10.9,76.0,3.7,86.3
Emily Patel,9.0,85.2,2.1,79.6
Sai Singh,10.5,67.3,4.1,92.1
Rohan Reddy,9.8,78.4,2.9,90.9
Karthik Kumar,9.1,94.0,2.6,80.8
Rahul Reddy,11.9,76.9,3.3,100.0
John Gupta,8.9,82.6,3.9,79.4
Lakshmi Johnson,11.6,81.9,3.5,100.0
Jane Doe,10.8,99.2,3.6,92.6
John Sharma,8.9,75.3,3.7,86.3
Emily Gupta,9.8,92.5,3.4,95.0
Karthik Sharma,11.0,95.5,3.8,100.0
John Williams,8.4,90.4,4.3,80.0
Lakshmi Kumar,10.5,74.5,2.3,88.5
Sai Patel,10.0,97.1,2.7,84.0
Lakshmi Sharma,9.4,99.7,3.6,95.1
Sarah Sharma,11.4,66.0,3.3,86.2
David Williams,8.4,74.9,4.2,80.3
Jane Kumar,11.6,98.4,4.4,100.0
Sita Brown,10.8,70.9,2.2,85.6
Neha Iyer,11.5,81.6,3.4,96.8
Arjun Gupta,10.7,74.0,4.5,89.6
Sai Patel,11.8,74.1,3.0,95.4
Karthik Singh,8.5,93.6,4.1,86.9
Aarav Smith,8.4,63.1,4.5,70.0
John Sharma,9.9,79.6,2.1,86.9
David Williams,11.9,79.1,2.6,100.0
Neha Rao,11.9,88.5,3.5,98.8
David Gupta,9.9,86.2,3.7,83.7
Sai Iyer,8.0,84.3,3.7,76.7
Arjun Rao,8.4,90.3,3.6,83.5
Arjun Brown,11.9,84.1,3.4,97.3
Jane Brown,9.4,97.3,2.8,94.5
Karthik Smith,8.8,79.0,3.0,83.9
Sarah Reddy,8.9,94.0,2.3,80.9
Sarah Singh,11.0,75.7,4.1,92.9
Priya Sharma,11.5,71.8,3.1,96.7
Rohan Brown,8.4,77.1,3.5,81.6
Sita Johnson,8.1,63.8,2.7,64.4
Karthik Rao,9.3,80.8,2.3,85.7
Sai Doe,11.5,69.1,3.4,88.7
Aarav Gupta,10.2,89.3,3.6,94.5
Priya Iyer,9.1,68.3,4.4,74.6
Rohan Doe,8.4,83.0,3.6,83.1
Sarah Patel,10.4,85.7,3.3,90.7
Jane Iyer,8.8,81.4,3.7,79.9
Aarav Smith,11.6,69.1,2.9,87.3
Lakshmi Patel,11.5,70.8,3.4,94.7
John Brown,9.6,66.3,3.9,87.6
Aarav Doe,8.8,75.4,2.4,88.1
Michael Kumar,10.7,89.6,2.6,100.0
Karthik Kumar,9.8,61.0,3.1,78.3
Karthik Iyer,11.5,94.1,2.5,98.9
Sarah Iyer,10.8,60.1,2.8,91.2
Sai Patel,11.5,84.8,2.2,90.1
John Singh,8.0,68.3,3.0,61.2
Jane Doe,11.6,70.7,3.0,87.0
Lakshmi Singh,8.8,94.2,3.4,86.9
Sai Reddy,8.5,88.8,2.1,83.8
Emily Singh,10.3,85.8,3.0,91.1
Sarah Gupta,9.1,87.0,4.0,87.3
David Williams,8.6,77.8,3.5,74.0
Arjun Brown,8.5,96.3,3.9,95.8
Ananya Rao,8.0,87.0,2.9,79.6
Sarah Kumar,9.4,76.6,4.0,86.5
Sita Rao,11.4,81.5,3.3,100.0
Aarav Kumar,11.9,79.2,2.3,95.3
Rohan Kumar,8.4,82.4,3.0,78.7
Priya Rao,8.3,70.3,2.3,68.5
Rohan Reddy,9.6,82.3,3.7,81.6
Neha Williams,11.5,65.9,2.7,85.6
Jane Gupta,9.8,72.3,2.0,83.3
Emily Rao,10.6,97.2,3.0,89.9
Ananya Smith,11.3,97.0,2.9,99.9
Neha Iyer,11.4,83.3,2.5,97.8
Rahul Smith,10.8,99.1,3.2,97.5
Sarah Patel,9.4,68.6,3.6,71.3
Karthik Gupta,11.4,97.9,3.9,100.0
Priya Kumar,10.3,88.4,3.6,94.3
Lakshmi Gupta,8.7,73.3,3.7,79.4
Aarav Singh,11.4,84.1,2.6,100.0
Neha Patel,9.0,84.6,3.8,88.4
Aarav Rao,10.3,60.2,2.8,75.0
Arjun Iyer,10.6,71.0,2.2,92.7
Priya Kumar,10.0,79.6,2.4,86.5
Michael Gupta,10.2,79.3,3.3,98.2
Neha Kumar,8.3,79.7,3.8,78.7
Lakshmi Kumar,11.8,73.7,3.3,97.5
Aarav Singh,10.2,66.9,3.0,84.4
Emily Smith,10.0,63.8,4.3,85.3
Lakshmi Sharma,10.2,89.9,4.1,86.6
Michael Doe,11.4,73.1,3.0,92.4
Aarav Brown,11.6,65.4,4.3,90.8
Karthik Singh,9.9,82.4,2.9,95.1
Sai Smith,11.9,89.2,4.4,100.0
Emily Johnson,9.8,93.6,3.2,87.3
Sita Doe,9.7,83.5,2.4,89.6
Neha Doe,11.3,65.8,3.2,89.2
Neha Patel,9.8,82.6,2.1,89.6
Sita Sharma,9.5,95.7,2.5,87.5
Sai Singh,8.7,72.7,3.3,79.4
Karthik Singh,8.1,75.4,2.4,78.6
Emily Singh,11.4,79.5,3.8,88.7
Rahul Brown,11.5,89.3,3.9,100.0
Jane Iyer,8.7,73.6,2.4,79.1
Sita Gupta,11.5,79.7,3.3,91.4
Sai Gupta,9.3,83.4,4.4,84.6
Sai Gupta,9.5,89.7,4.4,89.4
Sita Johnson,9.4,77.4,3.2,79.8
Sita Johnson,8.0,95.7,2.0,80.0
Sita Brown,8.0,83.1,4.3,75.3
Jane Brown,11.8,96.6,4.4,100.0
Ananya Brown,10.7,90.9,3.4,91.2
Michael Reddy,8.7,91.9,2.1,84.2
Aarav Iyer,8.3,75.3,3.5,82.6
Priya Singh,8.5,99.6,3.7,87.7
Sita Williams,9.4,74.8,4.2,82.2
Karthik Smith,11.7,63.0,4.1,89.4
Rohan Gupta,11.0,71.5,4.1,96.5
Sai Gupta,8.4,83.7,3.2,78.6
Neha Williams,9.4,80.1,3.2,93.0
Neha Brown,9.7,93.7,4.2,87.1
Lakshmi Singh,11.2,77.4,3.3,88.6
Michael Iyer,10.6,99.5,2.6,93.3
John Johnson,9.3,61.3,2.5,67.5
Aarav Singh,11.1,64.4,3.2,88.8
Karthik Kumar,10.4,62.7,3.7,84.2
Neha Smith,8.3,89.7,4.0,89.0
Neha Smith,11.8,80.2,4.2,100.0
Rohan Reddy,8.3,67.7,2.8,74.4
Aarav Patel,10.7,71.4,2.8,85.0
Michael Sharma,10.1,74.8,3.5,87.2
Sai Johnson,8.5,89.4,2.4,84.4
John Johnson,8.1,62.6,2.9,57.0
John Smith,10.0,98.9,4.0,100.0
Karthik Smith,8.6,75.4,3.1,70.9
Rohan Kumar,9.3,81.2,4.0,88.0
David Doe,10.0,91.5,2.9,95.7
Neha Smith,11.1,76.4,3.9,92.6
Sarah Johnson,10.6,93.8,3.6,90.9
Aarav Singh,9.7,71.8,3.3,84.3
Priya Kumar,11.7,74.4,3.8,92.1
Arjun Patel,11.1,86.7,3.9,97.9
Aarav Rao,10.4,88.2,4.3,97.8
Rohan Williams,11.9,83.5,3.4,95.2
Rahul Gupta,9.0,87.8,4.3,82.3
Jane Patel,10.9,88.8,2.3,92.8
Sita Rao,11.1,68.2,4.1,84.7
Ananya Johnson,11.4,81.1,3.6,96.5
Rahul Brown,9.0,68.4,4.0,82.0
Emily Doe,9.5,92.2,2.7,91.5
Sarah Kumar,10.2,62.3,2.0,83.1
John Rao,9.3,60.0,3.0,71.4
Emily Johnson,11.6,94.4,2.1,100.0
Sarah Reddy,8.5,85.6,3.4,79.6
