client_name,calorie_deficit,cardio_mins,sleep,weight_loss
Michael Williams,475.0,31.0,5.2,2.07
Rohan Williams,383.0,105.0,5.8,2.66
David Singh,120.0,22.0,5.4,1.16
David Gupta,974.0,33.0,9.7,3.17
Neha Smith,20.0,16.0,9.7,1.27
Rohan Singh,737.0,81.0,7.7,3.25
Priya Sharma,769.0,113.0,9.5,3.38
John Gupta,244.0,32.0,8.7,2.02
Emily Kumar,672.0,57.0,7.5,2.32
Aarav Kumar,93.0,76.0,4.0,1.49
Michael Kumar,257.0,120.0,8.6,2.87
Aarav Sharma,788.0,13.0,8.2,2.5
Sarah Singh,865.0,60.0,7.7,3.07
Rohan Johnson,608.0,46.0,8.6,2.67
Sarah Williams,507.0,104.0,7.1,3.13
John Singh,159.0,57.0,8.2,1.66
Aarav Patel,63.0,13.0,9.6,1.06
Jane Sharma,118.0,76.0,6.3,1.54
Rohan Singh,227.0,92.0,8.2,1.89
Jane Singh,342.0,0.0,6.9,1.55
John Reddy,381.0,103.0,8.0,2.49
Neha Williams,346.0,22.0,8.6,1.73
David Sharma,239.0,66.0,4.3,1.75
Emily Patel,510.0,50.0,7.9,2.23
Sarah Singh,825.0,86.0,5.4,3.2
David Singh,280.0,45.0,8.0,1.6
Aarav Smith,942.0,104.0,6.8,3.8
David Johnson,873.0,88.0,8.6,3.56
Jane Johnson,162.0,78.0,4.7,1.56
John Singh,786.0,96.0,7.8,3.33
Emily Gupta,575.0,90.0,5.7,2.36
David Sharma,567.0,4.0,9.1,2.11
Aarav Kumar,391.0,47.0,9.6,2.18
Sarah Gupta,501.0,112.0,10.0,2.87
Emily Gupta,397.0,15.0,8.8,1.69
David Patel,540.0,88.0,8.5,2.79
Aarav Smith,628.0,117.0,5.3,2.83
Sarah Patel,674.0,6.0,6.0,1.53
Rohan Doe,532.0,82.0,6.8,2.78
John Smith,721.0,56.0,8.6,2.84
Michael Smith,141.0,70.0,9.5,1.47
Priya Smith,212.0,10.0,5.1,1.47
Aarav Doe,819.0,5.0,9.5,2.89
Neha Reddy,323.0,80.0,8.2,2.19
Rohan Sharma,23.0,99.0,7.7,1.63
Aarav Smith,154.0,94.0,5.2,1.85
John Doe,224.0,65.0,4.3,1.57
Michael Williams,957.0,12.0,7.4,2.88
Emily Singh,573.0,83.0,7.9,2.59
Jane Singh,933.0,29.0,5.3,2.9
Priya Smith,575.0,109.0,7.3,2.88
Emily Gupta,479.0,101.0,9.1,3.01
Michael Patel,314.0,85.0,9.0,2.22
Neha Reddy,606.0,114.0,9.6,3.84
Emily Smith,139.0,4.0,6.2,1.07
David Reddy,898.0,88.0,5.9,3.85
John Patel,829.0,40.0,8.5,3.07
Jane Kumar,318.0,109.0,6.6,2.27
Sarah Kumar,953.0,32.0,4.5,2.84
John Patel,825.0,87.0,5.7,3.27
Rohan Patel,666.0,105.0,6.5,3.11
David Smith,122.0,5.0,5.8,1.0
Priya Singh,478.0,48.0,6.0,2.19
Neha Gupta,506.0,91.0,5.8,2.3
Aarav Johnson,233.0,55.0,4.2,1.22
David Doe,80.0,32.0,7.8,1.1
Rohan Williams,777.0,26.0,7.6,2.6
John Singh,122.0,16.0,7.9,1.15
Sarah Johnson,594.0,103.0,5.2,2.54
Jane Smith,936.0,69.0,5.8,3.3
Neha Smith,876.0,9.0,7.7,2.67
Michael Sharma,278.0,46.0,7.6,1.81
Rohan Johnson,851.0,44.0,7.0,2.8
David Kumar,0.0,22.0,6.1,0.75
John Kumar,18.0,52.0,9.5,1.34
Jane Gupta,603.0,40.0,6.0,2.39
Emily Gupta,365.0,41.0,6.7,1.67
Aarav Gupta,386.0,89.0,8.1,2.51
Jane Smith,564.0,27.0,7.3,2.46
Priya Patel,192.0,77.0,6.1,1.7
Emily Gupta,212.0,68.0,6.6,1.96
Jane Kumar,485.0,68.0,8.8,2.64
David Kumar,754.0,80.0,5.7,2.93
David Doe,619.0,66.0,4.9,2.47
Neha Doe,297.0,106.0,5.9,2.22
Emily Kumar,430.0,81.0,9.1,2.59
David Patel,171.0,66.0,4.5,1.34
Aarav Patel,75.0,100.0,10.0,2.15
Aarav Sharma,783.0,73.0,7.2,2.9
Jane Gupta,265.0,35.0,9.9,2.07
Priya Singh,178.0,25.0,9.6,1.23
John Smith,692.0,18.0,6.7,2.33
Aarav Kumar,618.0,108.0,5.2,2.9
Emily Singh,633.0,85.0,5.0,2.67
Emily Reddy,229.0,112.0,5.4,2.33
Emily Kumar,233.0,72.0,8.3,1.96
Emily Gupta,221.0,57.0,5.6,1.62
Neha Sharma,174.0,7.0,6.0,0.68
Aarav Smith,656.0,81.0,6.7,2.7
Michael Kumar,848.0,70.0,9.5,3.51
Jane Kumar,724.0,119.0,5.1,2.88
Aarav Smith,792.0,29.0,4.0,2.31
Michael Reddy,405.0,64.0,4.4,1.75
John Johnson,654.0,78.0,9.4,3.01
Michael Gupta,354.0,77.0,7.9,2.15
Aarav Sharma,526.0,67.0,5.6,2.04
John Smith,482.0,93.0,5.1,2.48
Jane Sharma,177.0,25.0,5.8,1.17
Rohan Smith,387.0,87.0,4.7,2.24
John Doe,964.0,74.0,9.6,3.8
David Williams,249.0,108.0,8.7,2.69
Emily Williams,134.0,102.0,6.8,1.99
John Gupta,419.0,38.0,9.2,2.39
Priya Doe,790.0,33.0,5.5,2.27
Emily Singh,582.0,118.0,8.3,3.35
Neha Williams,681.0,63.0,9.1,3.0
Neha Williams,190.0,109.0,6.1,2.13
Aarav Gupta,619.0,20.0,8.5,2.38
Aarav Johnson,324.0,77.0,5.8,1.8
Emily Singh,834.0,97.0,5.8,2.98
Sarah Singh,629.0,114.0,4.6,3.2
Sarah Kumar,199.0,40.0,6.6,1.43
Neha Johnson,65.0,87.0,8.4,1.8
Priya Williams,43.0,65.0,9.6,1.48
Rohan Johnson,371.0,7.0,7.6,1.28
Jane Patel,266.0,83.0,9.2,2.26
Aarav Gupta,646.0,83.0,8.9,2.95
John Singh,499.0,112.0,5.0,2.62
Neha Doe,266.0,60.0,6.9,1.84
Rohan Reddy,149.0,28.0,4.7,1.54
John Johnson,127.0,5.0,8.1,1.05
Sarah Reddy,865.0,50.0,9.7,3.51
Sarah Williams,243.0,36.0,4.8,1.66
Emily Smith,652.0,91.0,8.4,3.21
Jane Williams,811.0,43.0,7.8,2.78
Emily Reddy,614.0,114.0,7.5,2.84
Michael Smith,860.0,115.0,6.3,3.6
Priya Sharma,392.0,75.0,6.1,2.35
Michael Singh,956.0,111.0,4.3,3.8
Jane Reddy,133.0,91.0,5.3,1.52
Jane Kumar,102.0,66.0,4.1,1.22
Rohan Gupta,659.0,22.0,7.5,2.09
Jane Doe,943.0,55.0,4.6,2.77
Sarah Kumar,809.0,67.0,9.2,3.35
Aarav Gupta,76.0,104.0,7.1,1.77
John Williams,279.0,58.0,8.2,1.79
Rohan Williams,930.0,108.0,6.5,3.74
Michael Williams,253.0,81.0,7.4,2.14
Michael Singh,781.0,16.0,9.7,2.76
David Sharma,825.0,119.0,4.5,3.16
Aarav Williams,495.0,63.0,5.5,2.43
Sarah Smith,386.0,47.0,8.7,2.11
Neha Reddy,450.0,79.0,4.6,2.63
David Gupta,227.0,13.0,4.5,1.06
Michael Smith,889.0,76.0,6.2,2.69
Rohan Sharma,451.0,60.0,4.6,1.48
Emily Singh,882.0,49.0,7.5,3.13
John Williams,106.0,114.0,5.4,2.15
John Sharma,988.0,63.0,9.4,3.38
Emily Johnson,443.0,26.0,8.7,2.44
Michael Smith,48.0,55.0,8.2,1.8
Jane Sharma,38.0,110.0,7.7,1.99
Sarah Williams,746.0,21.0,9.2,2.73
Michael Singh,659.0,26.0,5.3,2.29
Jane Smith,802.0,2.0,9.2,2.92
Michael Singh,105.0,2.0,8.7,1.24
Sarah Williams,36.0,100.0,8.5,1.95
Emily Sharma,509.0,88.0,7.4,2.77
Jane Doe,388.0,43.0,5.5,1.86
Jane Williams,462.0,84.0,6.5,2.6
Sarah Kumar,992.0,47.0,8.8,3.02
Sarah Smith,971.0,114.0,4.2,3.57
Priya Sharma,942.0,116.0,8.7,4.01
Jane Gupta,784.0,47.0,5.4,2.57
Rohan Doe,355.0,103.0,4.9,2.38
Aarav Patel,412.0,93.0,4.7,2.61
Priya Doe,550.0,37.0,4.2,1.92
John Smith,831.0,28.0,7.1,2.79
Aarav Kumar,69.0,55.0,5.3,1.54
Michael Kumar,424.0,94.0,9.9,2.81
Aarav Smith,83.0,115.0,7.4,1.88
Priya Williams,515.0,92.0,4.8,2.55
Neha Kumar,899.0,103.0,8.1,3.2
Neha Kumar,782.0,72.0,9.4,2.77
Rohan Smith,228.0,100.0,8.5,2.37
Sarah Gupta,976.0,94.0,4.5,2.87
Sarah Williams,667.0,45.0,9.4,2.46
Sarah Doe,10.0,66.0,8.8,1.48
John Johnson,255.0,97.0,4.9,1.83
Rohan Patel,261.0,6.0,4.3,0.98
Sarah Sharma,69.0,97.0,7.3,2.07
Neha Gupta,960.0,21.0,4.9,2.67
Jane Johnson,478.0,62.0,9.0,2.31
Michael Johnson,896.0,97.0,6.2,3.65
Jane Williams,322.0,30.0,9.5,1.61
Michael Johnson,125.0,29.0,7.4,1.33
Priya Kumar,474.0,48.0,5.1,1.63
Aarav Kumar,114.0,107.0,4.8,1.84
Jane Doe,486.0,0.0,7.5,1.65
Aarav Singh,920.0,108.0,8.6,4.0
Priya Singh,521.0,18.0,8.7,2.24
Michael Smith,616.0,119.0,5.7,2.87
Rohan Singh,157.0,115.0,5.2,1.83
David Kumar,44.0,59.0,4.1,1.03
David Smith,111.0,62.0,8.1,2.02
Aarav Patel,599.0,58.0,4.5,2.54
David Reddy,95.0,76.0,6.5,1.41
John Smith,376.0,11.0,7.6,1.78
Jane Johnson,550.0,4.0,9.6,1.76
John Johnson,389.0,7.0,5.9,1.34
Rohan Patel,164.0,53.0,5.5,1.22
John Williams,274.0,33.0,7.9,1.88
Michael Sharma,928.0,75.0,7.7,3.12
John Johnson,676.0,119.0,6.0,3.23
Jane Sharma,496.0,46.0,9.6,2.41
Jane Sharma,13.0,69.0,9.1,1.59
Rohan Johnson,992.0,50.0,5.3,3.35
Rohan Sharma,671.0,102.0,5.4,3.26
Sarah Williams,317.0,108.0,7.1,2.4
Rohan Williams,879.0,105.0,8.6,3.61
Michael Kumar,258.0,117.0,4.3,1.81
Rohan Doe,544.0,3.0,8.2,1.94
David Williams,636.0,101.0,7.9,3.46
Sarah Smith,221.0,90.0,5.4,1.86
Emily Singh,978.0,27.0,8.1,3.19
Priya Williams,748.0,115.0,9.6,3.33
David Doe,558.0,18.0,4.3,1.63
Sarah Doe,181.0,82.0,5.9,1.86
Michael Sharma,54.0,27.0,6.6,1.06
Emily Kumar,320.0,52.0,9.4,2.26
Priya Smith,753.0,86.0,9.8,3.23
Emily Patel,269.0,68.0,6.7,1.53
Aarav Singh,540.0,51.0,8.5,2.67
David Patel,728.0,39.0,7.2,2.38
Jane Reddy,108.0,101.0,7.2,2.05
John Reddy,685.0,17.0,5.7,2.2
Rohan Williams,92.0,52.0,5.3,0.9
Sarah Kumar,965.0,108.0,5.7,3.8
Rohan Kumar,488.0,102.0,7.3,2.61
Neha Williams,151.0,48.0,4.2,1.21
Jane Gupta,342.0,92.0,9.4,2.47
David Singh,413.0,99.0,4.9,2.63
Aarav Kumar,758.0,107.0,5.3,3.38
David Smith,743.0,65.0,7.1,2.49
David Gupta,612.0,25.0,8.3,2.75
Aarav Reddy,106.0,31.0,4.6,0.84
Michael Reddy,152.0,35.0,5.9,1.67
Sarah Sharma,94.0,71.0,9.8,1.83
Emily Sharma,577.0,4.0,5.6,1.68
Michael Patel,877.0,76.0,5.9,3.06
John Kumar,434.0,44.0,9.0,2.13
Jane Johnson,161.0,35.0,4.3,1.61
Neha Johnson,558.0,106.0,6.8,2.83
Aarav Smith,812.0,55.0,6.3,2.74
Michael Reddy,742.0,11.0,5.9,2.2
Emily Kumar,881.0,99.0,5.7,3.13
Rohan Johnson,278.0,6.0,4.5,1.39
Sarah Gupta,194.0,87.0,5.9,1.55
Emily Gupta,880.0,93.0,4.3,2.99
Michael Gupta,658.0,42.0,8.7,2.79
Sarah Patel,311.0,99.0,6.4,2.26
Sarah Gupta,742.0,62.0,6.7,2.88
Sarah Doe,815.0,56.0,9.4,3.43
Michael Johnson,615.0,5.0,7.9,2.28
Jane Reddy,688.0,35.0,4.0,2.16
Aarav Johnson,375.0,112.0,9.7,3.25
Aarav Sharma,539.0,47.0,5.4,1.96
Jane Kumar,524.0,66.0,4.6,2.15
Emily Doe,848.0,64.0,8.6,3.19
John Sharma,840.0,71.0,7.0,3.07
David Doe,833.0,7.0,6.6,2.19
Sarah Gupta,11.0,43.0,5.5,0.69
Neha Sharma,750.0,87.0,7.3,3.18
Rohan Gupta,759.0,24.0,5.6,2.2
Aarav Reddy,678.0,24.0,9.4,2.92
Aarav Doe,756.0,1.0,5.3,2.04
Aarav Sharma,842.0,52.0,9.3,3.09
Sarah Johnson,470.0,106.0,7.4,2.95
Emily Smith,502.0,6.0,9.0,2.04
Aarav Doe,125.0,23.0,8.3,1.27
David Kumar,385.0,37.0,8.2,1.83
Aarav Sharma,643.0,88.0,5.9,3.49
Rohan Reddy,780.0,77.0,5.4,2.94
Aarav Sharma,217.0,50.0,5.3,1.68
Michael Reddy,138.0,91.0,9.1,1.9
John Sharma,663.0,73.0,8.9,2.83
Rohan Sharma,2.0,108.0,6.6,2.17
Michael Sharma,178.0,98.0,4.8,2.1
Sarah Williams,29.0,30.0,6.3,1.08
John Smith,167.0,33.0,7.7,1.35
Michael Johnson,181.0,15.0,6.7,1.14
Aarav Kumar,388.0,40.0,8.7,1.91
Jane Smith,402.0,120.0,10.0,2.77
Aarav Gupta,874.0,49.0,5.1,2.93
Neha Gupta,510.0,26.0,6.8,2.07
Rohan Williams,723.0,91.0,6.6,3.17
Sarah Doe,104.0,65.0,5.8,1.37
Emily Reddy,225.0,18.0,5.2,1.2
John Doe,703.0,46.0,4.4,2.22
Aarav Reddy,53.0,50.0,9.3,1.39
Michael Johnson,487.0,90.0,6.5,2.86
Aarav Singh,599.0,2.0,7.0,1.95
Michael Sharma,602.0,32.0,9.5,2.58
Neha Kumar,23.0,62.0,8.7,1.7
Rohan Reddy,322.0,32.0,4.8,1.47
Neha Reddy,636.0,75.0,7.4,2.81
Neha Doe,149.0,58.0,6.7,1.32
Neha Kumar,695.0,43.0,8.8,2.52
Neha Patel,746.0,114.0,8.3,3.28
David Reddy,982.0,76.0,8.1,3.66
Aarav Gupta,210.0,16.0,6.0,1.19
Rohan Williams,825.0,67.0,8.8,3.03
John Smith,520.0,94.0,4.3,2.52
Michael Patel,373.0,85.0,5.0,2.2
Sarah Gupta,122.0,21.0,6.0,0.91
Aarav Williams,736.0,117.0,4.5,3.08
Aarav Patel,236.0,54.0,5.4,1.66
Priya Sharma,371.0,19.0,9.0,1.66
Neha Reddy,63.0,22.0,9.7,1.42
Michael Doe,801.0,12.0,5.8,2.36
John Johnson,767.0,96.0,5.6,2.86
Rohan Singh,734.0,15.0,5.7,2.23
Emily Gupta,299.0,15.0,5.7,1.39
Jane Gupta,173.0,102.0,4.2,1.66
Jane Gupta,638.0,41.0,9.6,2.54
David Kumar,496.0,4.0,5.3,1.36
John Doe,178.0,6.0,6.5,0.98
Sarah Kumar,686.0,17.0,4.1,1.95
John Sharma,991.0,26.0,9.1,3.04
Michael Doe,747.0,80.0,8.4,2.83
Sarah Reddy,740.0,19.0,9.7,2.5
Michael Reddy,950.0,14.0,8.7,2.83
Aarav Sharma,203.0,92.0,5.9,2.08
David Williams,566.0,81.0,5.5,2.6
Neha Smith,980.0,52.0,8.2,3.47
Sarah Johnson,165.0,66.0,6.2,1.46
Sarah Johnson,700.0,37.0,7.4,2.54
David Reddy,586.0,58.0,4.0,1.67
Priya Smith,586.0,61.0,4.4,2.3
Sarah Patel,698.0,46.0,7.2,2.7
Aarav Gupta,930.0,109.0,7.4,3.62
Aarav Kumar,783.0,2.0,8.5,2.49
Jane Gupta,56.0,94.0,4.8,1.23
Emily Williams,853.0,15.0,7.1,2.4
Rohan Gupta,226.0,96.0,5.2,2.08
Neha Williams,377.0,74.0,4.6,2.05
Priya Kumar,462.0,101.0,6.5,2.5
Rohan Kumar,481.0,12.0,5.0,1.74
Rohan Doe,435.0,67.0,5.3,2.1
Sarah Reddy,937.0,60.0,5.9,2.97
John Kumar,706.0,85.0,5.6,2.78
David Singh,631.0,64.0,4.5,2.26
Michael Williams,50.0,65.0,4.5,0.97
Rohan Johnson,904.0,52.0,5.2,3.09
Aarav Singh,909.0,37.0,4.3,2.51
Emily Williams,780.0,58.0,7.8,2.75
David Smith,7.0,14.0,5.7,0.42
Jane Johnson,57.0,115.0,5.7,1.31
Jane Williams,225.0,86.0,6.0,2.05
John Johnson,131.0,114.0,8.0,2.36
Neha Patel,399.0,27.0,9.2,2.23
Emily Doe,923.0,106.0,8.6,3.73
Priya Gupta,472.0,97.0,8.4,2.69
Aarav Kumar,13.0,81.0,6.9,1.43
Sarah Johnson,283.0,75.0,8.2,2.05
Michael Reddy,45.0,38.0,7.3,1.42
Jane Williams,36.0,98.0,5.3,1.58
Neha Gupta,276.0,60.0,5.3,1.75
Emily Sharma,276.0,9.0,5.8,1.13
David Smith,787.0,38.0,9.5,3.16
Michael Reddy,975.0,112.0,7.3,3.42
Michael Reddy,371.0,102.0,8.4,2.36
Emily Singh,429.0,118.0,6.1,2.72
Jane Gupta,845.0,75.0,6.4,3.44
Rohan Johnson,268.0,30.0,4.8,1.26
Rohan Kumar,156.0,20.0,5.0,0.84
John Gupta,853.0,22.0,9.0,3.03
Michael Patel,47.0,2.0,7.5,0.93
Priya Reddy,620.0,47.0,6.0,2.57
Neha Patel,562.0,23.0,8.8,1.98
Jane Reddy,346.0,49.0,5.5,1.98
Emily Smith,315.0,112.0,9.9,2.43
Priya Reddy,772.0,52.0,6.1,2.61
John Johnson,86.0,105.0,6.0,1.91
Neha Gupta,237.0,73.0,5.9,1.82
Sarah Kumar,732.0,30.0,4.7,2.45
Michael Reddy,548.0,43.0,4.7,1.63
Sarah Reddy,128.0,10.0,7.9,1.17
Jane Kumar,882.0,40.0,9.3,3.33
Jane Smith,393.0,81.0,8.7,2.49
Jane Smith,828.0,9.0,4.8,2.0
Aarav Williams,788.0,25.0,7.3,2.75
Emily Sharma,624.0,46.0,4.6,2.04
Jane Kumar,494.0,118.0,4.3,2.43
Aarav Reddy,980.0,94.0,7.9,3.5
Neha Gupta,145.0,88.0,7.2,1.85
Sarah Sharma,725.0,14.0,4.5,2.08
Rohan Williams,191.0,94.0,4.2,1.49
Neha Gupta,338.0,94.0,9.9,2.4
Neha Patel,309.0,72.0,4.2,1.62
Aarav Sharma,947.0,119.0,6.7,3.56
David Smith,967.0,39.0,7.0,3.04
David Gupta,183.0,113.0,4.7,2.04
Emily Singh,22.0,110.0,5.0,1.69
John Smith,720.0,1.0,6.1,2.11
Michael Doe,418.0,54.0,8.6,2.57
Michael Gupta,89.0,117.0,7.0,2.14
David Doe,684.0,12.0,7.8,2.43
John Kumar,545.0,66.0,9.9,2.66
Aarav Gupta,981.0,117.0,8.6,4.19
Emily Gupta,227.0,67.0,6.6,1.69
David Sharma,404.0,23.0,6.7,1.79
John Sharma,543.0,70.0,7.7,2.28
Michael Sharma,792.0,25.0,8.0,2.66
John Williams,549.0,62.0,7.0,2.23
Jane Johnson,613.0,9.0,7.9,2.29
Sarah Johnson,226.0,73.0,4.1,1.77
Neha Gupta,847.0,62.0,6.6,2.88
Priya Singh,429.0,89.0,5.7,2.72
Priya Kumar,141.0,76.0,4.8,1.46
Emily Smith,664.0,66.0,4.6,2.13
Rohan Smith,216.0,83.0,7.6,1.87
David Smith,98.0,17.0,7.1,0.87
Aarav Singh,862.0,71.0,5.5,3.07
Neha Sharma,460.0,21.0,6.8,1.56
Priya Gupta,749.0,111.0,7.0,3.2
John Singh,291.0,8.0,5.2,1.24
John Reddy,787.0,52.0,7.9,2.91
Emily Kumar,112.0,83.0,8.7,1.92
Rohan Kumar,356.0,55.0,8.7,2.16
Priya Williams,978.0,11.0,7.6,2.75
Jane Smith,794.0,66.0,7.1,2.64
Jane Singh,497.0,77.0,4.4,2.12
Jane Reddy,340.0,84.0,5.7,2.19
David Smith,872.0,45.0,4.6,2.62
Michael Singh,545.0,68.0,9.8,2.82
Aarav Patel,758.0,54.0,4.8,2.42
Emily Doe,754.0,81.0,4.9,3.0
Sarah Sharma,18.0,70.0,9.3,1.16
Sarah Smith,126.0,63.0,9.7,1.88
Emily Reddy,660.0,30.0,8.6,2.75
Jane Gupta,162.0,0.0,4.0,1.03
Jane Gupta,255.0,21.0,4.0,1.07
Priya Sharma,947.0,14.0,6.3,2.4
Jane Doe,560.0,54.0,4.9,2.42
John Kumar,751.0,73.0,4.1,2.64
Jane Patel,558.0,26.0,6.8,2.02
Sarah Sharma,553.0,113.0,9.7,3.02
Jane Williams,94.0,1.0,5.9,0.54
Priya Reddy,344.0,93.0,8.0,2.52
Emily Gupta,282.0,75.0,7.9,2.24
Rohan Williams,391.0,45.0,5.5,1.82
Sarah Gupta,798.0,6.0,7.9,2.29
Neha Johnson,372.0,75.0,5.3,1.81
Aarav Gupta,452.0,46.0,4.7,1.55
Jane Patel,397.0,112.0,8.2,2.63
Michael Gupta,93.0,65.0,4.7,1.1
Michael Gupta,441.0,113.0,10.0,2.67
Sarah Smith,196.0,26.0,5.1,1.3
Sarah Johnson,187.0,87.0,7.6,1.74
Emily Kumar,94.0,74.0,6.5,1.77
Priya Johnson,357.0,89.0,4.8,2.16
Emily Singh,757.0,26.0,4.2,2.25
Aarav Sharma,276.0,80.0,7.7,2.46
Michael Williams,312.0,60.0,8.8,1.85
Jane Reddy,643.0,89.0,9.1,3.26
Rohan Johnson,196.0,39.0,6.9,1.41
Aarav Reddy,897.0,107.0,8.7,4.24
Rohan Kumar,520.0,10.0,8.0,1.87
Priya Sharma,448.0,97.0,8.3,2.59
David Sharma,558.0,103.0,7.0,2.93
David Williams,166.0,98.0,7.8,2.05
Jane Johnson,613.0,62.0,8.8,2.57
Michael Williams,363.0,53.0,6.4,1.7
David Kumar,897.0,120.0,8.8,4.17
Jane Johnson,169.0,28.0,7.6,1.14
Sarah Reddy,507.0,66.0,5.0,2.21
Neha Singh,598.0,80.0,4.1,2.63
Neha Doe,33.0,84.0,6.2,1.75
Aarav Kumar,364.0,24.0,7.3,1.58
Emily Gupta,733.0,78.0,9.0,3.11
David Singh,820.0,98.0,4.8,3.02
Jane Reddy,313.0,6.0,8.8,1.26
Michael Gupta,799.0,109.0,9.2,3.72
Aarav Smith,968.0,4.0,4.9,2.47
Emily Williams,857.0,43.0,9.1,3.34
Neha Sharma,118.0,2.0,9.9,1.08
Aarav Singh,740.0,9.0,8.4,2.63
Aarav Patel,320.0,109.0,8.7,2.84
David Smith,988.0,43.0,10.0,3.41
Jane Reddy,485.0,51.0,7.6,1.81
Emily Gupta,122.0,26.0,5.8,0.99
Aarav Singh,725.0,72.0,9.0,3.43
Aarav Singh,323.0,71.0,7.7,2.19
John Gupta,997.0,45.0,7.5,3.33
John Smith,980.0,40.0,5.5,2.89
Priya Kumar,656.0,106.0,8.5,3.18
Neha Smith,130.0,46.0,4.5,0.8
John Doe,687.0,59.0,9.5,3.08
Neha Reddy,93.0,34.0,6.0,1.34
Aarav Doe,29.0,94.0,4.8,1.29
Emily Kumar,823.0,48.0,6.7,2.75
Jane Smith,210.0,62.0,4.3,1.4
Priya Singh,379.0,30.0,8.1,1.96
Rohan Kumar,973.0,119.0,9.4,3.96
Sarah Williams,337.0,35.0,9.0,2.11
John Doe,296.0,92.0,4.8,2.01
Aarav Singh,918.0,51.0,4.8,2.32
Rohan Doe,111.0,25.0,8.9,1.45
Rohan Gupta,760.0,96.0,9.5,3.63
Aarav Johnson,988.0,40.0,6.8,2.82
Rohan Kumar,901.0,104.0,7.0,3.62
Priya Singh,652.0,110.0,5.9,3.36
Priya Reddy,314.0,103.0,9.4,2.62
David Sharma,254.0,4.0,7.9,1.57
John Kumar,819.0,94.0,5.7,3.07
Aarav Gupta,880.0,49.0,5.8,2.83
Neha Kumar,525.0,105.0,9.3,2.99
Priya Gupta,244.0,77.0,4.1,1.58
Jane Patel,113.0,100.0,5.9,1.79
Michael Reddy,87.0,60.0,7.3,1.18
Michael Singh,719.0,64.0,4.9,2.5
Neha Singh,420.0,17.0,4.6,1.74
Sarah Singh,905.0,94.0,8.9,3.45
Aarav Singh,740.0,50.0,9.4,2.71
Michael Kumar,191.0,60.0,8.9,1.89
John Patel,614.0,94.0,9.4,3.13
Neha Doe,436.0,72.0,7.3,2.4
Aarav Sharma,577.0,24.0,8.9,2.26
Jane Williams,738.0,71.0,6.3,2.83
Neha Kumar,806.0,49.0,8.0,2.83
Rohan Singh,844.0,56.0,9.9,2.99
Jane Sharma,254.0,3.0,5.4,1.06
Michael Reddy,31.0,25.0,6.3,1.09
David Doe,739.0,34.0,6.9,2.61
Michael Kumar,106.0,86.0,4.8,1.2
Jane Williams,315.0,1.0,4.5,1.14
Emily Gupta,4.0,49.0,9.0,1.22
Aarav Williams,682.0,111.0,9.9,3.74
Priya Singh,167.0,13.0,6.4,1.18
Aarav Doe,655.0,62.0,4.5,2.56
John Smith,992.0,94.0,4.4,3.37
David Gupta,73.0,113.0,9.3,2.2
Neha Johnson,77.0,90.0,6.8,2.03
Rohan Johnson,340.0,86.0,5.9,2.33
Emily Reddy,866.0,99.0,6.9,3.43
Jane Williams,216.0,54.0,5.9,1.52
